DATE,Volunteers ,# of Volunteers ,Arrival time,Weather,Surf,# of Honu at arrival,Time of first Honu ,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,PAU,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,People Tally,Harassment?,Honu up at other opening?,Number of people less than 15 feet away
8/3/15,Jane,1,2:10,Partly Cloudy ,2-5',n/a,2:42,4,5,8,10,11,11,13,11,13,14,14,13,15,31,37,37,23,36,50,31,19,23,32,46,45,30,34,25,12,9,0,400,1,,12
8/4/15,"Magda, Barbara",2,2:30,Sunny,0-1',13,2:50,13,11,16,18,19,21,23,23,23,23,23,27,38,49,64,64,15,14,23,21,17,26,17,30,48,34,27,35,25,5,2,125,0,,5
8/5/15,"Magda, Ian(@ 4:00) ",2,12:42,"Sunny, cloudy, rainy ",2-5',n/a,2:31,15,19,25,23,25,26,28,28,28,28,30,36,43,44,51,51,25,50,15,29,36,41,46,24,21,18,19,15,18,0,0,261,0,,n/a
8/6/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/15,Ian and unknown(@ 4:30) ,2,2:15,Sunny,2-5',3,2:34,3,6,5,8,8,9,7,8,8,10,11,12,18,38,39,39,26,29,32,21,30,43,31,38,34,25,50,30,24,14,0,280,0,,6
8/8/15,Ian ,1,2:15,Sunny,2-5',3,2:36,3,8,9,9,12,13,13,15,15,15,17,19,27,44,48,48,39,34,33,33,27,44,16,18,26,32,30,28,11,6,0,373,,,so many
8/9/15,Ian,1,2:30,Sunny,2-5',4,3:04,4,4,5,5,6,7,7,7,7,9,8,7,14,24,26,26,27,30,42,52,73,44,23,35,37,32,37,21,20,13,0,279,0,,0
8/10/15,"Ian, Jane (closed) ",2,2:45,Sunny,2-5',0,2:50,1,2,4,4,9,9,9,8,9,8,8,11,22,36,,36,1,19,20,19,15,20,17,16,12,22,34,39,27,4,,234,0,,0
8/11/15,Magda ,1,2:30,Sunny,0-1',3,2:45,3,3,5,6,5,11,12,12,12,12,12,21,34,50,56,56,26,19,14,22,18,20,18,22,30,29,27,25,23,10,0,255,0,,10
8/12/15,Anthony,1,2:30,Sunny,0-1',1,3:45,1,1,2,3,5,9,10,9,9,9,10,13,29,40,,40,4,3,9,12,11,15,12,35,37,40,36,39,32,15,,200,0,,4
8/13/15,Magda,1,2:30,sunny,0-1',0,3:40,0,0,1,4,5,5,8,7,7,9,16,17,33,50,54,54,10,16,14,17,11,20,33,12,27,38,33,36,24,,,205,0,,0
8/14/15,Ian,1,2:20,cloudy,0-1',1,3:09,1,1,1,2,2,2,4,9,10,11,15,16,28,45,46,46,15,19,34,17,24,25,16,32,28,20,16,31,11,6,0,224,0,,0
8/15/15,Ian,1,2:20,"cloudy, partly cloudy",0-1',1,2:29,2,2,2,2,2,2,4,4,4,4,9,12,27,37,43,43,25,26,12,22,27,31,45,24,20,26,43,40,15,7,0,283,0,,4
8/16/15,Magda,1,n/a,n/a,n/a,n/a,3:19,5,2,2,2,4,7,8,8,9,11,13,14,28,54,,54,25,15,20,22,20,16,20,27,21,44,38,39,10,4,,n/a,n/a,n/a,n/a
8/17/15,Ian,1,n/a,cloudy,2-5',6,3:24,6,6,7,6,6,12,111,12,12,12,14,22,n/a,n/a,n/a,n/a,23,23,19,33,20,38,34,17,26,14,17,23,n/a,n/a,n/a,n/a,n/a,n/a,n/a
8/18/15,MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/19/15,Anthony,1,2:30,"cloudy,rainy",0-1',3,4:07,3,3,3,3,3,3,3,3,4,4,5,10,20,42,,42,6,8,12,15,13,18,13,25,36,30,22,25,12,4,,165,0,,6
8/20/15,"Jane, Mgok, Randall",3,2:15,sunny,2-5',n/a,2:51,4,7,11,10,9,11,10,11,12,12,12,12,30,45,,45,10,15,27,22,18,27,18,32,26,28,58,35,21,,,273,0,,7
8/21/15,Ian,1,2:30,sunny,2-5',2,2:40,2,3,5,6,6,7,7,7,7,7,7,15,25,27,,27,36,31,48,56,18,19,29,25,31,38,34,23,8,0,,262,0,,6
8/22/15,"Ian, Louise, skip",3,2:25,sunny,2-5',2,2:43,2,8,11,12,12,12,12,12,12,14,14,16,23,24,,24,32,46,40,30,31,27,29,33,38,25,22,27,8,0,,276,0,,2
8/23/15,Ian,1,2:20,"Sunny, cloudy, rainy ",2-5',0,3:16,0,0,1,1,1,1,1,1,1,1,1,7,18,24,,24,26,31,24,21,20,23,30,33,41,35,33,42,13,0,,227,0,,n/a
8/24/15,"Jane, Twyla",2,n/a,cloudy,2-5',n/a,6:14,0,0,0,0,0,0,0,0,1,2,2,6,13,n/a,,n/a,10,14,17,13,21,39,25,32,55,37,39,30,24,,,250,0,,0
8/25/15,Magda,1,2:30,Sunny,0-1',0,4:07,0,0,0,1,1,1,1,1,1,1,1,1,9,13,31,31,18,15,32,30,34,33,36,35,37,38,40,35,15,4,1,185,0,,0
8/26/15,Anthony,1,2:30,Sunny,0-1',0,4:01,0,0,0,2,2,3,3,3,3,4,9,18,28,36,42,42,0,0,0,20,10,9,26,23,26,42,56,72,60,27,1,165,0,,0
8/27/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/15,"Ian, Makayla, Casia",3,2:15,Sunny,11-15',n/a,2:20,6,8,11,13,16,13,13,13,13,13,13,27,39,41,,41,15,8,17,20,39,15,23,37,33,25,29,24,6,4,,253,0,,0
8/29/15,Ian,1,2:15,Sunny,11-15',6,2:54,6,6,7,6,7,11,16,17,23,23,26,33,36,38,,38,20,27,12,20,18,12,8,20,24,16,17,21,3,0,,227,0,,4
8/30/15,"Magda, Micah",2,2:30,Sunny,2-5',6,2:58,6,4,6,5,9,8,10,11,11,11,13,16,33,,,33,4,11,22,21,24,12,30,24,23,21,23,26,15,,,300,0,,0
8/31/15,"Ian, Matt (5-7)",2,2:30,"Sunny, Rainy, Partly Cloudy",2-5',6,2:55,6,6,7,7,9,14,14,16,22,22,28,34,38,39,,39,23,14,10,7,14,11,15,11,17,14,16,23,0,0,,190,0,,2
