#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 03 01 09 999 99.0 99.0  1.78 11.11  7.48  10 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 01 39 999 99.0 99.0  1.84 10.53  7.50   8 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 02 09 999 99.0 99.0  1.73 11.76  7.56  10 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 02 39 999 99.0 99.0  1.69  9.09  7.51  36 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 03 09 999 99.0 99.0  1.79 11.11  7.58   6 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 03 39 999 99.0 99.0  1.83 10.53  7.71   5 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 04 09 999 99.0 99.0  1.87 11.76  7.81   8 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 04 39 999 99.0 99.0  1.76  8.33  7.32  48 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 05 09 999 99.0 99.0  1.85 10.53  7.82  29 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 05 39 999 99.0 99.0  1.83  8.33  7.53  43 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 06 09 999 99.0 99.0  1.66 10.53  7.42 356 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 06 39 999 99.0 99.0  1.87  9.88  7.98   6 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 07 09 999 99.0 99.0  1.73 10.53  7.72   5 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 07 39 999 99.0 99.0  1.59 10.53  7.53  13 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 08 09 999 99.0 99.0  1.58  9.88  7.50  16 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 08 39 999 99.0 99.0  1.59  9.88  7.62   9 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 09 09 999 99.0 99.0  1.62  9.88  7.60  30 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 09 39 999 99.0 99.0  1.70 10.53  7.73  32 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 10 09 999 99.0 99.0  1.54 10.53  7.48  23 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 10 39 999 99.0 99.0  1.58 10.53  7.22  16 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 11 09 999 99.0 99.0  1.71  9.88  7.57   8 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 11 39 999 99.0 99.0  1.63  9.88  7.40  26 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 03 12 09 999 99.0 99.0  1.54  9.88  7.31   1 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 03 12 39 999 99.0 99.0  1.49  8.33  7.13  39 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 03 13 09 999 99.0 99.0  1.59  9.88  7.54  23 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 03 13 39 999 99.0 99.0  1.47  9.09  7.48  37 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 03 14 09 999 99.0 99.0  1.50  9.09  7.52  34 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 03 14 39 999 99.0 99.0  1.60  9.88  7.78   9 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 03 15 09 999 99.0 99.0  1.50  9.88  7.55  27 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 03 15 39 999 99.0 99.0  1.46  9.09  7.72  34 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 03 16 09 999 99.0 99.0  1.59  9.88  7.73  24 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 03 16 39 999 99.0 99.0  1.55  9.09  7.54  27 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 03 17 09 999 99.0 99.0  1.41  9.09  7.26  33 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 03 17 39 999 99.0 99.0  1.35  9.09  7.37  39 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 03 18 09 999 99.0 99.0  1.33 11.76  7.37 338 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 03 18 39 999 99.0 99.0  1.40  9.09  7.62  34 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 03 19 09 999 99.0 99.0  1.46 11.11  7.37   5 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 03 19 39 999 99.0 99.0  1.48  9.09  7.48  32 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 03 20 09 999 99.0 99.0  1.42  8.33  7.53  53 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 03 20 39 999 99.0 99.0  1.36  9.88  7.59  29 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 21 09 999 99.0 99.0  1.39  9.09  7.85  30 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 21 39 999 99.0 99.0  1.47  9.09  7.94  54 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 22 09 999 99.0 99.0  1.37  9.09  7.80  58 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 22 39 999 99.0 99.0  1.38  8.33  7.83  64 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 23 09 999 99.0 99.0  1.33 10.53  7.76  22 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 23 39 999 99.0 99.0  1.37  9.88  7.85  19 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 04 00 09 999 99.0 99.0  1.38  8.33  7.72  72 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 04 00 39 999 99.0 99.0  1.36 10.53  8.06 356 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 04 01 09 999 99.0 99.0  1.33  8.33  7.82  68 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 04 01 39 999 99.0 99.0  1.24  8.33  7.46  75 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 04 02 09 999 99.0 99.0  1.21  8.33  7.53  65 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 04 02 39 999 99.0 99.0  1.21  9.09  7.62  65 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 04 03 09 999 99.0 99.0  1.30 11.11  8.01 349 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 04 03 39 999 99.0 99.0  1.21  8.33  7.68  67 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 04 04 09 999 99.0 99.0  1.24  9.88  7.78  23 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 04 39 999 99.0 99.0  1.16 11.11  7.68 348 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 05 09 999 99.0 99.0  1.27  9.09  7.82  41 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 05 39 999 99.0 99.0  1.20 11.11  7.64 341 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 06 09 999 99.0 99.0  1.28 10.53  7.64   5 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 04 06 39 999 99.0 99.0  1.19 12.50  7.78 323 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 07 09 999 99.0 99.0  1.30  9.09  7.88  44 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 07 39 999 99.0 99.0  1.21 12.50  7.63 324 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 08 09 999 99.0 99.0  1.24 12.50  7.69 325 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 08 39 999 99.0 99.0  1.25 12.50  7.34 331 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 09 09 999 99.0 99.0  1.39  8.33  7.51  68 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 09 39 999 99.0 99.0  1.39 12.50  7.55 337 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 10 09 999 99.0 99.0  1.34 12.50  7.59 334 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 04 10 39 999 99.0 99.0  1.54 11.76  8.44 327 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 04 11 09 999 99.0 99.0  1.42 11.76  7.90 332 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 04 11 39 999 99.0 99.0  1.72 11.76  9.13 316 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 04 12 09 999 99.0 99.0  1.60 12.50  8.65 335 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 04 12 39 999 99.0 99.0  1.72 11.76  9.25 334 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 04 13 09 999 99.0 99.0  1.71 11.11  9.14 323 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 13 39 999 99.0 99.0  2.20 11.76  9.92 334 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 14 09 999 99.0 99.0  2.01 11.76  9.88 330 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 14 39 999 99.0 99.0  2.46 11.76 10.55 339 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 15 09 999 99.0 99.0  2.34 11.11 10.15 334 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 15 39 999 99.0 99.0  2.29 12.50  9.79 345 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 16 09 999 99.0 99.0  2.60 13.33 10.21 348 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 16 39 999 99.0 99.0  2.84 12.50 10.28 335 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 17 09 999 99.0 99.0  2.45 12.50  9.37 342 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 17 39 999 99.0 99.0  2.42 12.50  9.34 330 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 18 09 999 99.0 99.0  2.58 12.50  9.52 345 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 18 39 999 99.0 99.0  2.86 13.33  9.64 338 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 19 09 999 99.0 99.0  2.54 12.50  9.37 342 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 19 39 999 99.0 99.0  2.65 13.33  9.41 344 9999.0 999.0  24.5 999.0 99.0 99.00
